100000,128.2,55.6
100000,120.6,33.0
100000,155.6,9654.6
100000,134.2,70.2
200000,245.4,57.8
200000,238.4,69.8
200000,331.6,7185.6
200000,287.6,73.2
400000,505.8,83.8
400000,461.4,94.2
400000,568.8,6868.4
400000,517.4,92.6
800000,967.4,109.0
800000,915.2,99.8
800000,1011.0,8288.2
800000,970.2,103.6
1600000,1954.6,104.4
1600000,1842.2,108.8
1600000,1997.2,9419.6
1600000,2019.8,109.4
3200000,3919.8,112.8
3200000,3551.4,113.0
3200000,3962.8,11227.6
3200000,3875.0,111.6
6400000,7761.2,125.8
6400000,7170.2,122.0
6400000,8121.4,18751.2
6400000,7694.0,112.6
12800000,15178.0,128.4
12800000,14317.0,126.2
12800000,17032.0,22433.8
12800000,15610.8,115.0
